"ReadCode"	"ConceptId"	"term"	"DescriptionId"
"133c"	"789641000000103"	"Hospital at home patient"	"1765391000000118"
"133d"	"793161000000107"	"Child no longer cause for concern"	"1773171000000114"
"133f"	"819821000000107"	"Teenage parent"	"2135551000000119"
"133g"	"923801000000100"	"Family concern about patient"	"2369821000000114"
"133h"	"923821000000109"	"Friend concern about patient"	"2369861000000118"
"133i"	"512311000000103"	"Carer concern about patient"	"1139321000000116"
"133R"	"247811000000108"	"Vulnerable elderly person"	"405641000000111"
"133S"	"286051000000109"	"Married/civil partner"	"493971000000110"
"133T"	"286081000000103"	"Divorced/person whose civil partnership has been dissolved"	"494031000000110"
"133V"	"286141000000107"	"Widowed/surviving civil partner"	"494151000000119"
"133W"	"286171000000101"	"Marital/civil state not disclosed"	"494211000000114"
"135b"	"205141000000101"	"Pagan"	"314611000000118"
"135c"	"344081000000108"	"Mormon"	"642531000000117"
"135f"	"367901000000103"	"Confucianist"	"712881000000119"
"135h"	"344071000000106"	"Scientologist"	"642331000000113"
"135j"	"368361000000104"	"Druze"	"714301000000110"
"135l"	"368001000000101"	"African religion, follower of religion"	"713191000000116"
"135L"	"368161000000101"	"Evangelical Christian, follower of religion"	"713681000000110"
"135m"	"368021000000105"	"Yoruba, follower of religion"	"713251000000118"
"135n"	"368011000000104"	"Vodun"	"713211000000117"
"135o"	"368401000000108"	"Universalist"	"714421000000114"
"135p"	"368411000000105"	"Unitarian Universalist"	"714451000000116"
"135r"	"367991000000105"	"Shumei"	"713181000000118"
"135s"	"373851000000109"	"Secularist"	"734861000000110"
"135t"	"367961000000104"	"Satanist"	"713061000000114"
"135u"	"368391000000105"	"Santeria"	"714391000000115"
"135v"	"368331000000109"	"Radha Soami"	"714201000000116"
"135v"	"368331000000109"	"Sant Mat"	"714231000000110"
"135W"	"197461000000104"	"Salvation Army"	"296871000000112"
"135w"	"368381000000108"	"Pantheist"	"714361000000114"
"135X"	"205051000000104"	"Eastern Catholic"	"314411000000116"
"135X"	"205051000000104"	"Eastern Catholic religion"	"531721000000111"
"135x"	"368511000000109"	"Native American religion, follower of religion"	"714711000000111"
"135Y"	"205061000000101"	"Spiritualism"	"531731000000113"
"135Y"	"205061000000101"	"Spiritualist"	"314431000000112"
"135y"	"368371000000106"	"Peyotist"	"714331000000116"
"135z"	"367941000000100"	"New age practitioner"	"713021000000118"
"136a"	"777631000000108"	"Increasing risk drinking"	"1738341000000110"
"136c"	"777651000000101"	"Higher risk drinking"	"1738381000000119"
"136d"	"777671000000105"	"Lower risk drinking"	"1738421000000111"
"136e"	"858861000000101"	"Declines to state current alcohol consumption"	"2222181000000110"
"136S"	"198421000000108"	"Hazardous alcohol use"	"299061000000117"
"136T"	"198431000000105"	"Harmful alcohol use"	"299081000000114"
"137k"	"1098881000000103"	"Declined to give smoking status"	"2751171000000114"
"137K0"	"517211000000106"	"Recently stopped smoking"	"1151791000000117"
"137l"	"492191000000103"	"Ex roll-up cigarette smoker"	"1059701000000119"
"137o"	"836001000000109"	"Waterpipe tobacco consumption"	"2170961000000116"
"138a"	"366211000000105"	"General practice physical activity questionnaire physical activity index: moderately active"	"691111000000119"
"138b"	"366241000000106"	"General practice physical activity questionnaire physical activity index: active"	"691171000000112"
"138c"	"859981000000107"	"Level of physical activity"	"2224601000000117"
"138d"	"963051000000100"	"At least 150 minutes of moderate intensity physical activity per week"	"2453821000000113"
"138e"	"963071000000109"	"Less than 150 minutes of moderate intensity physical activity per week"	"2453861000000117"
"138S"	"199351000000104"	"Declined referral to physical exercise programme"	"301331000000117"
"138T"	"365981000000101"	"30 minutes a day of at least moderate intensity physical activity on five or more days of the week"	"690641000000116"
"138V"	"366011000000103"	"30 minutes a day of at least moderate intensity walking on five or more days of the week"	"690701000000114"
"138W"	"366061000000101"	"Less than 30 minutes a day of at least moderate intensity physical activity on five or more days of the week"	"690801000000115"
"138X"	"366121000000108"	"General practice physical activity questionnaire physical activity index: inactive"	"690921000000119"
"138Y"	"366171000000107"	"General practice physical activity questionnaire physical activity index: moderately inactive"	"691031000000111"
"13B10"	"983451000000106"	"Diabetic carbohydrate counting diet"	"2500921000000110"
"13Ca"	"784661000000101"	"Does not drive a vehicle"	"1754511000000111"
"13Cd"	"881501000000104"	"Gross Motor Function Classification System for Cerebral Palsy level finding"	"2273711000000111"
"13Cd0"	"881521000000108"	"Gross Motor Function Classification System for Cerebral Palsy level I"	"2273761000000113"
"13Cd1"	"881541000000101"	"Gross Motor Function Classification System for Cerebral Palsy level II"	"2273811000000118"
"13Cd2"	"882021000000108"	"Gross Motor Function Classification System for Cerebral Palsy level III"	"2274841000000119"
"13Cd3"	"882041000000101"	"Gross Motor Function Classification System for Cerebral Palsy level IV"	"2274891000000112"
"13Cd4"	"882061000000100"	"Gross Motor Function Classification System for Cerebral Palsy level V"	"2274951000000114"
"13cG0"	"919561000000107"	"Opioid tolerant"	"2360781000000111"
"13cG1"	"919581000000103"	"Opioid naive"	"2360821000000115"
"13cK"	"248021000000105"	"Current non recreational drug user"	"406071000000119"
"13cM1"	"1047881000000106"	"Opioid analgesic dependence"	"2639961000000113"
"13CW"	"760661000000106"	"No longer housebound"	"1683311000000115"
"13CX"	"846781000000100"	"Moving and handling equipment available at home"	"2195761000000116"
"13D7"	"381751000000106"	"Sofa surfer - person of no fixed abode"	"752321000000118"
"13dm"	"341651000000107"	"Born in former Yugoslav Republic of Macedonia"	"636901000000118"
"13do"	"858651000000103"	"Born in Montenegro"	"2221741000000112"
"13dp"	"919641000000105"	"Born in Belarus"	"2360941000000118"
"13dq"	"919661000000106"	"Born in Republic of Moldova"	"2360981000000114"
"13dr"	"919931000000109"	"Born in Guernsey"	"2361521000000113"
"13ds"	"919951000000102"	"Born in Jersey"	"2361561000000117"
"13dt"	"919971000000106"	"Born in Isle of Man"	"2361601000000117"
"13du"	"920521000000103"	"Born in Faroe Islands"	"2362871000000117"
"13dv"	"920541000000105"	"Born in Greenland"	"2362911000000115"
"13dw"	"920561000000106"	"Born in Svalbard and Jan Mayen"	"2362951000000116"
"13dx"	"920581000000102"	"Born in Aland Islands"	"2369421000000111"
"13EK"	"910981000000102"	"No hot water in home"	"2341611000000113"
"13eq"	"919831000000100"	"Born in Christmas Island"	"2361321000000116"
"13er"	"919851000000107"	"Born in Cocos (Keeling) Islands"	"2361361000000112"
"13es"	"920761000000100"	"Born in Macao"	"2363351000000110"
"13F5"	"929111000000105"	"Part 3 accommodation"	"2382651000000113"
"13F5"	"929111000000105"	"Part III accommodation"	"2382641000000110"
"13Fd0"	"979501000000100"	"Lives in Extra Care housing"	"2491051000000119"
"13FP"	"165811000000108"	"Lives on private site"	"226041000000115"
"13FQ"	"165821000000102"	"Lives on council site"	"236341000000119"
"13FR"	"176721000000106"	"Lives on unofficial site"	"235671000000113"
"13FW"	"247521000000104"	"Living in temporary housing"	"405061000000116"
"13FX"	"248171000000108"	"Lives in care home"	"406371000000117"
"13FY"	"287291000000105"	"Lives in a children's unit"	"496471000000113"
"13G2"	"1052591000000106"	"Health visitor attends"	"2649011000000113"
"13G2"	"1052591000000106"	"Health visitor visits"	"2651571000000112"
"13GB"	"1052601000000100"	"Health visitor involvement stopped"	"2649041000000114"
"13GE"	"771671000000101"	"Needs assistance with shopping"	"1721901000000115"
"13GE"	"771671000000101"	"Needs help with shopping"	"1721911000000118"
"13gp"	"205091000000107"	"Born in Eritrea"	"314501000000119"
"13gr"	"920781000000109"	"Born in Western Sahara"	"2363391000000119"
"13Hh"	"198521000000109"	"Subject to Anti Social Behaviour Order"	"299301000000118"
"13Hh"	"198521000000109"	"Subject to anti-social behaviour order"	"1739081000000111"
"13Hi"	"287411000000102"	"Child is unhappy at home"	"496711000000111"
"13Hj"	"371451000000108"	"Subject to community treatment order under Section 17A of Mental Health Act 1983 (England and Wales)"	"729581000000116"
"13Hk"	"371481000000102"	"Discharged from community treatment order under Mental Health Act 1983 (England and Wales)"	"729641000000111"
"13Hl"	"495021000000105"	"Subject of MAPPA"	"1135691000000110"
"13Hl"	"495021000000105"	"Subject of multi-agency public protection arrangements"	"1065951000000112"
"13Hm"	"758941000000108"	"Subject of multi-agency risk assessment conference"	"1674041000000113"
"13Hn"	"861751000000105"	"Legal status under Children (Scotland) Act 1995"	"2228471000000119"
"13Hn0"	"861781000000104"	"Subject to care order under Children (Scotland) Act 1995"	"2228531000000115"
"13Hn1"	"861811000000101"	"Subject to interim care order under Children (Scotland) Act 1995"	"2228601000000113"
"13Hn2"	"861891000000105"	"Subject to supervision requirement with condition of residence under Section 70 of Children (Scotland) Act 1995"	"2228841000000110"
"13i2"	"914271000000103"	"Impaired ability to recognise safety risks"	"2349201000000110"
"13Ib"	"248191000000107"	"Child lives with partner"	"406411000000118"
"13IB1"	"764841000000100"	"Looked after child"	"1703601000000115"
"13IB2"	"914081000000108"	"Child in private foster care"	"2348741000000110"
"13Ic"	"248201000000109"	"Child lives with another relative"	"406431000000114"
"13Ie"	"294441000000106"	"Child on supervision order"	"517771000000111"
"13Ie"	"294441000000106"	"Subject to supervision order under Children Act 1989"	"2156331000000114"
"13If"	"287441000000101"	"Child is cause for concern"	"496771000000118"
"13Ig"	"293371000000108"	"Family member on child protection register"	"515271000000110"
"13Ih"	"294441000000106"	"Subject to supervision order under Children Act 1989"	"2156331000000114"
"13Ii"	"294501000000107"	"Subject to care order under Children Act 1989"	"517851000000110"
"13Ii0"	"512331000000106"	"Subject to care order under section 20 of Children Act 1989"	"1139361000000112"
"13Ii1"	"512351000000104"	"Subject to care order under section 21 of Children Act 1989"	"1139401000000115"
"13Ii2"	"512371000000108"	"Subject to care order under section 25 of Children Act 1989"	"1139441000000117"
"13Ii3"	"512401000000105"	"Subject to care order under section 31 of Children Act 1989"	"1139501000000116"
"13Ij"	"294531000000101"	"Subject to interim care order under Children Act 1989"	"517911000000116"
"13Ij0"	"512421000000101"	"Subject to interim care order under section 38 of Children Act 1989"	"1139541000000118"
"13Ij1"	"512441000000108"	"Subject to emergency protective order under section 44 of Children Act 1989"	"1139581000000114"
"13Ik"	"294561000000106"	"Child in care voluntarily"	"517971000000114"
"13Il"	"294591000000100"	"Subject to interim supervision order under Children Act 1989"	"518031000000110"
"13Im"	"294901000000102"	"Subject to certificate of authority issued under the Adults with Incapacity (Scotland) Act 2000"	"519041000000110"
"13In"	"294841000000108"	"Has welfare attorney appointed under the Adults with Incapacity (Scotland) Act 2000"	"518921000000114"
"13Io"	"294871000000102"	"Has guardian appointed under the Adults with Incapacity (Scotland) Act 2000"	"518981000000110"
"13Ip"	"300731000000106"	"Family is cause for concern"	"532781000000119"
"13IP0"	"1025471000000102"	"Family member no longer on child protection register"	"2588691000000117"
"13Iq"	"305311000000106"	"Vulnerable family"	"542821000000114"
"13IU"	"758951000000106"	"Adult no longer vulnerable"	"1674061000000114"
"13IV"	"112921000000104"	"Looked after child - Children (Scotland) Act 1995"	"189651000000112"
"13Iv"	"342191000000101"	"Subject to child protection plan"	"638051000000117"
"13Iv0"	"818901000000100"	"Unborn child subject to child protection plan"	"2133401000000118"
"13IW"	"247661000000106"	"Child no longer vulnerable"	"405341000000119"
"13Iw"	"342891000000105"	"No longer subject to child protection plan"	"639541000000117"
"13Iw0"	"1025431000000104"	"Unborn child no longer subject to child protection plan"	"2588611000000114"
"13IX"	"248181000000105"	"Child lives with parent"	"406391000000118"
"13Ix"	"343741000000100"	"Child for permanence"	"644261000000119"
"13Iy"	"375041000000100"	"Family member subject of child protection plan"	"737571000000110"
"13Iz"	"375071000000106"	"Family member no longer subject of child protection plan"	"737631000000114"
"13IZ0"	"859721000000108"	"Lives with adoptive parents"	"2224061000000114"
"13IZ1"	"859831000000104"	"Lives with biological parent and step parent"	"2224301000000113"
"13IZ2"	"859931000000108"	"Lives with biological parents"	"2224501000000116"
"13jD"	"503091000000101"	"Born in Dominica"	"1117841000000115"
"13jE"	"768761000000104"	"Born in Aruba"	"1715661000000119"
"13jF"	"918991000000102"	"Born in United States Virgin Islands"	"2359621000000117"
"13jG"	"919071000000105"	"Born in Saint Vincent and the Grenadines"	"2359791000000114"
"13Jh"	"352771000000103"	"Total number of sick days in last month"	"662531000000113"
"13jH"	"919181000000106"	"Born in Sint Maarten"	"2360011000000118"
"13Ji"	"753651000000107"	"Military veteran"	"1657891000000115"
"13Ji0"	"986751000000107"	"Army veteran"	"2509111000000114"
"13Ji1"	"986781000000101"	"Royal Air Force veteran"	"2509171000000116"
"13Ji2"	"986811000000103"	"Royal Navy veteran"	"2509231000000114"
"13Ji3"	"986831000000106"	"Royal Marines veteran"	"2509271000000111"
"13jJ"	"919201000000105"	"Born in Saint-Martin"	"2360051000000119"
"13JJ0"	"374171000000109"	"Benefits agency reports unfit for work"	"735851000000113"
"13JJ1"	"925481000000108"	"Benefits agency reports unfit for work but fit note no longer needed"	"2373241000000110"
"13jK"	"919711000000103"	"Born in Bonaire, Sint Eustatius and Saba"	"2361081000000117"
"13Jk"	"957481000000103"	"NEET - Not in employment, education or training"	"2441101000000110"
"13Jk"	"957481000000103"	"Not in employment, education or training"	"2441091000000119"
"13jL"	"923701000000106"	"Born in Curacao"	"2369611000000119"
"13kA"	"918951000000105"	"Born in Samoa"	"2359521000000118"
"13kB"	"919681000000102"	"Born in American Samoa"	"2361021000000118"
"13kC"	"919101000000101"	"Born in United States Minor Outlying Islands"	"2359851000000114"
"13kD"	"919121000000105"	"Born in Tokelau"	"2359891000000118"
"13kE"	"919871000000103"	"Born in Cook Islands"	"2361401000000115"
"13kF"	"919911000000101"	"Born in Guam"	"2361481000000113"
"13kG"	"919991000000105"	"Born in Federated States of Micronesia"	"2361641000000119"
"13KG"	"986691000000106"	"Personal financial circumstances reviewed"	"2508981000000114"
"13kH"	"920011000000104"	"Born in Marshall Islands"	"2361681000000110"
"13kJ"	"920031000000107"	"Born in Niue"	"2361721000000115"
"13kK"	"920051000000100"	"Born in Norfolk Island"	"2361761000000111"
"13kL"	"920071000000109"	"Born in Northern Mariana Islands"	"2361801000000118"
"13kM"	"920091000000108"	"Born in Palau"	"2361841000000115"
"13kN"	"920331000000109"	"Born in Antarctica"	"2362501000000110"
"13LB"	"494251000000109"	"Mother has physical disability"	"1064221000000114"
"13LC"	"494281000000103"	"Father has physical disability"	"1064281000000110"
"13N9"	"200631000000105"	"Sexual contact with high risk partner"	"304551000000116"
"13na"	"204841000000106"	"Reads Amharic"	"313961000000114"
"13nb"	"204851000000109"	"Reads Lingala"	"313981000000117"
"13nc"	"204861000000107"	"Reads Pashto"	"314001000000113"
"13nd"	"204871000000100"	"Reads Serbian"	"314021000000116"
"13ne"	"204881000000103"	"Reads Sinhala"	"314041000000111"
"13nf"	"204891000000101"	"Reads Tigrinya"	"314061000000112"
"13ng"	"204901000000100"	"Reads Bulgarian"	"314081000000115"
"13nh"	"204911000000103"	"Reads Burmese"	"314101000000114"
"13ni"	"204921000000109"	"Reads Chechen"	"314121000000117"
"13nJ"	"204691000000102"	"Reads Chinese - Traditional"	"313661000000119"
"13nj"	"204931000000106"	"Reads Indonesian"	"314141000000112"
"13nK"	"204701000000102"	"Reads Gujarati"	"313681000000111"
"13nk"	"204941000000102"	"Reads Kinyarwanda"	"314161000000113"
"13nL"	"204711000000100"	"Reads Hausa"	"313701000000113"
"13nl"	"204951000000104"	"Reads Kurmanji"	"314181000000116"
"13nM"	"204721000000106"	"Reads Chinese - Simplified"	"313721000000116"
"13nm"	"204961000000101"	"Reads Malay"	"314201000000117"
"13nN"	"204731000000108"	"Reads Swahili"	"313741000000111"
"13nn"	"204971000000108"	"Reads Mongolian"	"314221000000114"
"13no"	"204981000000105"	"Reads Ndebele"	"314241000000119"
"13nP"	"204741000000104"	"Reads Yoruba"	"313761000000112"
"13np"	"205131000000105"	"Reads Braille"	"314591000000114"
"13nQ"	"204751000000101"	"Reads Kurdish"	"313781000000115"
"13nq"	"845501000000107"	"Reads Welsh"	"2193071000000114"
"13nR"	"204761000000103"	"Reads Italian"	"313801000000119"
"13nS"	"204771000000105"	"Reads German"	"313821000000111"
"13nT"	"204781000000107"	"Reads Albanian"	"313841000000116"
"13nV"	"204791000000109"	"Reads Croatian"	"313861000000115"
"13nW"	"204801000000108"	"Reads Greek"	"313881000000112"
"13nX"	"204811000000105"	"Reads Japanese"	"313901000000110"
"13nY"	"204821000000104"	"Reads Turkish"	"313921000000118"
"13nZ"	"204831000000102"	"Reads Vietnamese"	"313941000000113"
"13O20"	"755961000000102"	"Not receiving statutory sick pay"	"1663391000000110"
"13o3"	"494881000000104"	"Illegible writing"	"1065651000000118"
"13o4"	"520391000000100"	"Preferred method of communication: speech"	"1162021000000117"
"13o5"	"520421000000106"	"Preferred method of communication: Makaton"	"1162081000000116"
"13o6"	"520471000000105"	"Preferred method of communication: British Sign Language"	"1162181000000117"
"13o7"	"520491000000109"	"Preferred method of communication: written"	"1162221000000110"
"13o8"	"520591000000105"	"Communication support finding"	"1162421000000111"
"13o88"	"936561000000105"	"Uses Tadoma method for communication"	"2398641000000111"
"13o89"	"762361000000101"	"Uses voice output communication aid"	"1693011000000119"
"13o8C"	"954871000000106"	"Uses switches for communication"	"2435441000000117"
"13o8G"	"955771000000100"	"Uses apps on mobile device to support communication"	"2437361000000115"
"13o8J"	"957031000000107"	"Uses deafblind intervener"	"2440051000000118"
"13o8K"	"837341000000108"	"Uses Personal Communication Passport"	"2173841000000115"
"13o8L"	"761541000000100"	"Uses alternative communication skill"	"1687181000000115"
"13o8N"	"981781000000107"	"Uses Deafblind Manual Alphabet"	"2496941000000110"
"13oa"	"957461000000107"	"Requires communication support worker"	"2441051000000110"
"13OD"	"816691000000101"	"Employment and support allowance"	"2128041000000115"
"13OE"	"913661000000109"	"Personal Independence Payment"	"2347871000000113"
"13p50"	"712971000000108"	"Practice based smoking cessation programme start date"	"1563081000000115"
"13p7"	"766931000000106"	"Smoking status at 12 weeks"	"1708051000000119"
"13p8"	"768971000000109"	"Lost to smoking cessation follow-up"	"1716141000000117"
"13q1"	"352521000000107"	"History relating to Royal Navy service"	"661981000000113"
"13q2"	"352551000000102"	"History relating to Royal Air Force service"	"662041000000111"
"13r5"	"300471000000101"	"Abstinent from substance misuse"	"532251000000118"
"13s0"	"202581000000107"	"Akan as a second language"	"309061000000111"
"13s1"	"202591000000109"	"Albanian as a second language"	"309081000000119"
"13s2"	"202601000000103"	"Amharic as a second language"	"309101000000113"
"13s3"	"202611000000101"	"Arabic as a second language"	"309121000000116"
"13s4"	"202621000000107"	"Bengali as a second language"	"309141000000111"
"13s5"	"203001000000101"	"Italian as a second language"	"309941000000114"
"13s6"	"202631000000109"	"Chinese as a second language"	"309161000000112"
"13s7"	"202641000000100"	"Croatian as a second language"	"309181000000115"
"13s8"	"202651000000102"	"Czech as a second language"	"309201000000116"
"13s9"	"202661000000104"	"Dutch as a second language"	"309221000000113"
"13sa"	"202801000000104"	"Portuguese as a second language"	"309521000000110"
"13sB"	"203011000000104"	"German as a second language"	"309961000000110"
"13sb"	"203111000000103"	"Thai as a second language"	"310171000000110"
"13sc"	"202811000000102"	"Russian as a second language"	"309551000000117"
"13sC"	"203021000000105"	"Ukrainian as a second language"	"309981000000118"
"13sD"	"202671000000106"	"French as a second language"	"309241000000118"
"13sd"	"202821000000108"	"Serbian as a second language"	"309571000000114"
"13sE"	"203041000000103"	"Vietnamese as a second language"	"310021000000112"
"13se"	"203121000000109"	"Tigrinya as a second language"	"310191000000114"
"13sF"	"202681000000108"	"Irish Gaelic as a second language"	"309261000000117"
"13sf"	"202831000000105"	"Somali as a second language"	"309591000000113"
"13sG"	"202691000000105"	"Greek as a second language"	"309291000000111"
"13sg"	"202841000000101"	"Spanish as a second language"	"309611000000117"
"13sH"	"202701000000105"	"Gujarati as a second language"	"309311000000112"
"13sh"	"202851000000103"	"Swahili as a second language"	"309631000000113"
"13si"	"202861000000100"	"Swedish as a second language"	"309651000000118"
"13sI"	"202881000000109"	"Tamil as a second language"	"309691000000114"
"13sJ"	"203051000000100"	"Urdu as a second language"	"310051000000119"
"13sj"	"203201000000109"	"Welsh as a second language"	"310361000000118"
"13sK"	"202711000000107"	"Hausa as a second language"	"309331000000116"
"13sk"	"205251000000109"	"Scottish Gaelic as a second language"	"314871000000112"
"13sL"	"202721000000101"	"Hebrew as a second language"	"309351000000111"
"13sM"	"202731000000104"	"Hindi as a second language"	"309371000000119"
"13sN"	"203061000000102"	"Yoruba as a second language"	"310071000000111"
"13sO"	"202871000000107"	"Tagalog as a second language"	"309671000000110"
"13sP"	"202741000000108"	"Igbo as a second language"	"309391000000115"
"13sQ"	"202751000000106"	"Japanese as a second language"	"309411000000115"
"13sR"	"202761000000109"	"Korean as a second language"	"309431000000111"
"13sS"	"202771000000102"	"Kurdish as a second language"	"309451000000116"
"13sT"	"203071000000109"	"Lingala as a second language"	"310091000000110"
"13sU"	"203131000000106"	"Turkish as a second language"	"310211000000113"
"13sV"	"202781000000100"	"Lithuanian as a second language"	"309471000000113"
"13sW"	"203081000000106"	"Shona as a second language"	"310111000000117"
"13sX"	"203091000000108"	"Malayalam as a second language"	"310131000000113"
"13sY"	"203101000000100"	"Norwegian as a second language"	"310151000000118"
"13sZ"	"202791000000103"	"Polish as a second language"	"309501000000118"
"13t"	"342961000000105"	"Born in British overseas territory"	"639751000000112"
"13t0"	"342991000000104"	"Born in Montserrat"	"639841000000119"
"13t1"	"343021000000109"	"Born in Bermuda"	"639901000000113"
"13t2"	"503061000000107"	"Born in Anguilla"	"1117781000000119"
"13t3"	"919051000000101"	"Born in British Virgin Islands"	"2359751000000118"
"13t4"	"919161000000102"	"Born in Turks and Caicos Islands"	"2359971000000113"
"13t5"	"919241000000108"	"Born in Saint Helena, Ascension and Tristan da Cunha"	"2360131000000113"
"13t6"	"919261000000109"	"Born in South Georgia and the South Sandwich Islands"	"2360171000000110"
"13t7"	"919321000000108"	"Born in Falkland Islands"	"2360291000000116"
"13t8"	"919731000000106"	"Born in British Indian Ocean Territory"	"2361121000000119"
"13t9"	"919751000000104"	"Born in Cayman Islands"	"2361161000000110"
"13tA"	"919811000000108"	"Born in Pitcairn Islands"	"2361281000000112"
"13U6"	"929121000000104"	"Free NHS glasses"	"2382681000000119"
"13v"	"345761000000103"	"Born in French overseas region, department, collectivity or territory"	"647711000000116"
"13v0"	"345801000000108"	"Born in Martinique"	"647801000000112"
"13v1"	"919221000000101"	"Born in Saint Pierre and Miquelon"	"2360091000000110"
"13v2"	"918971000000101"	"Born in Wallis and Futuna"	"2359561000000114"
"13v3"	"919281000000100"	"Born in French Polynesia"	"2360211000000113"
"13v4"	"919301000000104"	"Born in French Guiana"	"2360251000000112"
"13v5"	"919771000000108"	"Born in French Southern Territories"	"2361201000000119"
"13v6"	"919791000000107"	"Born in Mayotte"	"2361241000000116"
"13v7"	"919891000000104"	"Born in Guadeloupe"	"2361441000000117"
"13v8"	"920601000000106"	"Born in Reunion"	"2369431000000113"
"13v9"	"920801000000105"	"Born in New Caledonia"	"2363431000000110"
"13VC6"	"1092951000000102"	"Declined to provide information about disability status"	"2738071000000119"
"13VC7"	"889751000000107"	"Multiple and complex disability without physical disability"	"2291711000000117"
"13VC8"	"889771000000103"	"Multiple and complex disability with physical disability"	"2291751000000118"
"13VC9"	"954731000000103"	"Intellectual development disorder of unknown aetiology"	"2435151000000112"
